アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10006770,"抽選 (当選未確定)",2020000628,"2021年3月7日 14:30～16:30",岐阜ファミリーパークテニスコート,第２コート,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020003413)"
10006770,"抽選 (落選)",2020000629,"2021年3月7日 12:30～14:30",岐阜ファミリーパークテニスコート,第１コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020000629,"2021年3月7日 12:30～14:30",岐阜ファミリーパークテニスコート,第２コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020000642,"2021年3月13日 12:30～14:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020000642,"2021年3月13日 12:30～14:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (当選未確定)",2020000643,"2021年3月13日 14:30～16:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020003429)"
10006770,"抽選 (当選未確定)",2020000643,"2021年3月13日 14:30～16:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020003429)"
10006770,"抽選 (落選)",2020003961,"2021年3月21日 12:30～14:30",木ノ下テニスコート,第６コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020003961,"2021年3月21日 12:30～14:30",木ノ下テニスコート,第７コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (当選未確定)",2020003962,"2021年3月21日 14:30～16:30",木ノ下テニスコート,第６コート（人工芝）,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020003545)"
10006770,"抽選 (当選未確定)",2020003962,"2021年3月21日 14:30～16:30",木ノ下テニスコート,第７コート（人工芝）,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020003545)"
10006770,"抽選 (落選)",2020002193,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002193,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002194,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002194,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002195,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002195,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002196,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002196,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002169,"2021年3月28日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002170,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10006770,"抽選 (落選)",2020002170,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
